07-24-2017 09:01:53.784,-,API,"MESTRE SLEEP,0013A20040C0C9D1,XBee PRO 900HP 200K,8071,COM3 - 9600/8/N/1/N,3"

07-24-2017 09:01:17.898,0,SENT,7E000408014E5454
07-24-2017 09:01:17.951,1,RECV,7E000788014E5400008252
07-24-2017 09:01:18.011,2,SENT,7E000408044E4461
07-24-2017 09:01:23.240,3,RECV,7E002588044E4400FFFE0013A20040C0C939204553435241564F00FFFE0100C105101E000B000028D5
07-24-2017 09:01:23.240,4,SENT,7E000F17020013A20040C0C939FFFE02523F9F
07-24-2017 09:01:23.362,5,RECV,7E000F97020013A20040C0C939FFFE523F021F
07-24-2017 09:01:23.363,6,SENT,7E000F17030013A20040C0C939FFFE022543C7
07-24-2017 09:01:23.498,7,RECV,7E001097030013A20040C0C939FFFE2543000148
07-24-2017 09:01:23.498,8,SENT,7E000F17040013A20040C0C939FFFE02485690
07-24-2017 09:01:23.628,9,RECV,7E001197040013A20040C0C939FFFE4856002344AB
07-24-2017 09:01:23.628,10,SENT,7E000F17050013A20040C0C939FFFE02565285
07-24-2017 09:01:23.728,11,RECV,7E001197050013A20040C0C939FFFE565200807413
07-24-2017 09:01:23.728,12,SENT,7E000F17060013A20040C0C939FFFE0241509B
07-24-2017 09:01:23.830,13,RECV,7E001097060013A20040C0C939FFFE415000011C
07-24-2017 09:01:28.872,14,RECV,7E002788044E4400FFFE0013A20040B106304553435241564F20494900FFFE0100C105101E000B00003C0A
07-24-2017 09:01:28.875,15,SENT,7E000F17070013A20040B10630FFFE02523F75
07-24-2017 09:01:29.006,16,RECV,7E000F97070013A20040B10630FFFE523F02F5
07-24-2017 09:01:29.006,17,SENT,7E000F17080013A20040B10630FFFE0225439D
07-24-2017 09:01:29.136,18,RECV,7E001097080013A20040B10630FFFE254300011E
07-24-2017 09:01:29.136,19,SENT,7E000F17090013A20040B10630FFFE02485666
07-24-2017 09:01:29.226,20,RECV,7E001197090013A20040B10630FFFE485600234283
07-24-2017 09:01:29.276,21,SENT,7E000F170A0013A20040B10630FFFE0256525B
07-24-2017 09:01:29.336,22,RECV,7E0011970A0013A20040B10630FFFE5652008074E9
07-24-2017 09:01:29.336,23,SENT,7E000F170B0013A20040B10630FFFE02415071
07-24-2017 09:01:29.438,24,RECV,7E0010970B0013A20040B10630FFFE41500001F2
