07-26-2017 07:09:36.818,-,API,"MESTRE SLEEP,0013A20040C0C9D1,XBee PRO 900HP 200K,8071,COM3 - 9600/8/N/1/N,3"

07-26-2017 07:09:04.323,0,SENT,7E000408024E5453
07-26-2017 07:09:06.829,1,SENT,7E000408034E5452
07-26-2017 07:09:11.681,2,RECV,7E002788064E4400FFFE0013A20040B106304553435241564F20494900FFFE0100C105101E000B000051F3
07-26-2017 07:09:11.981,3,RECV,7E002588064E4400FFFE0013A20040C0C939204553435241564F00FFFE0100C105101E000B00002BD0
07-26-2017 07:09:12.422,4,SENT,7E000408074E445E
07-26-2017 07:09:17.291,5,RECV,7E000788024E5400008251
07-26-2017 07:09:17.292,6,RECV,7E000788034E5400008250
07-26-2017 07:09:18.854,7,RECV,7E002788074E4400FFFE0013A20040B106304553435241564F20494900FFFE0100C105101E000B000059EA
07-26-2017 07:09:18.854,8,SENT,7E000F17040013A20040B10630FFFE02523F78
07-26-2017 07:09:18.987,9,RECV,7E000F97040013A20040B10630FFFE523F02F8
07-26-2017 07:09:18.987,10,SENT,7E000F17050013A20040B10630FFFE022543A0
07-26-2017 07:09:19.098,11,RECV,7E001097050013A20040B10630FFFE2543000121
07-26-2017 07:09:19.099,12,SENT,7E000F17060013A20040B10630FFFE02485669
07-26-2017 07:09:19.204,13,RECV,7E001197060013A20040B10630FFFE485600234286
07-26-2017 07:09:19.205,14,SENT,7E000F17070013A20040B10630FFFE0256525E
07-26-2017 07:09:19.361,15,RECV,7E001197070013A20040B10630FFFE5652008074EC
07-26-2017 07:09:19.364,16,SENT,7E000F17080013A20040B10630FFFE02415074
07-26-2017 07:09:19.487,17,RECV,7E001097080013A20040B10630FFFE41500001F5
07-26-2017 07:09:28.594,18,RECV,7E002588074E4400FFFE0013A20040C0C939204553435241564F00FFFE0100C105101E000B000028D2
07-26-2017 07:09:28.604,19,SENT,7E000F17090013A20040C0C939FFFE02523F98
07-26-2017 07:09:28.724,20,RECV,7E000F97090013A20040C0C939FFFE523F0218
07-26-2017 07:09:28.724,21,SENT,7E000F170A0013A20040C0C939FFFE022543C0
07-26-2017 07:09:28.863,22,RECV,7E0010970A0013A20040C0C939FFFE2543000141
07-26-2017 07:09:28.863,23,SENT,7E000F170B0013A20040C0C939FFFE02485689
07-26-2017 07:09:29.004,24,RECV,7E0011970B0013A20040C0C939FFFE4856002344A4
07-26-2017 07:09:29.004,25,SENT,7E000F170C0013A20040C0C939FFFE0256527E
07-26-2017 07:09:29.094,26,RECV,7E0011970C0013A20040C0C939FFFE56520080740C
07-26-2017 07:09:29.094,27,SENT,7E000F170D0013A20040C0C939FFFE02415094
07-26-2017 07:09:29.184,28,RECV,7E0010970D0013A20040C0C939FFFE4150000115
