07-26-2017 07:43:00.599,-,API,"MESTRE SLEEP,0013A20040C0C9D1,XBee PRO 900HP 200K,8071,COM3 - 9600/8/N/1/N,3"

07-26-2017 07:42:38.337,0,SENT,7E000408CB4E548A
07-26-2017 07:42:38.382,1,RECV,7E000788CB4E5400008288
07-26-2017 07:42:38.578,2,SENT,7E000408084E445D
07-26-2017 07:42:49.095,3,RECV,7E001E88084E4400FFFE0013A20040C0C9394100FFFE0100C105101E000B000028C3
07-26-2017 07:42:49.096,4,SENT,7E000F17CC0013A20040C0C939FFFE02523FD5
07-26-2017 07:42:49.196,5,RECV,7E000F97CC0013A20040C0C939FFFE523F0255
07-26-2017 07:42:49.197,6,SENT,7E000F17CD0013A20040C0C939FFFE022543FD
07-26-2017 07:42:49.298,7,RECV,7E001097CD0013A20040C0C939FFFE254300017E
07-26-2017 07:42:49.300,8,SENT,7E000F17CE0013A20040C0C939FFFE024856C6
07-26-2017 07:42:49.419,9,RECV,7E001197CE0013A20040C0C939FFFE4856002344E1
07-26-2017 07:42:49.420,10,SENT,7E000F17CF0013A20040C0C939FFFE025652BB
07-26-2017 07:42:49.500,11,RECV,7E001197CF0013A20040C0C939FFFE565200807449
07-26-2017 07:42:49.501,12,SENT,7E000F17D00013A20040C0C939FFFE024150D1
07-26-2017 07:42:49.601,13,RECV,7E001097D00013A20040C0C939FFFE4150000152
07-26-2017 07:42:50.105,14,RECV,7E001E88084E4400FFFE0013A20040B106304100FFFE0100C105101E000B0000477F
07-26-2017 07:42:50.106,15,SENT,7E000F17D10013A20040B10630FFFE02523FAB
07-26-2017 07:42:50.216,16,RECV,7E000F97D10013A20040B10630FFFE523F022B
07-26-2017 07:42:50.217,17,SENT,7E000F17D20013A20040B10630FFFE022543D3
07-26-2017 07:42:50.327,18,RECV,7E001097D20013A20040B10630FFFE2543000154
07-26-2017 07:42:50.328,19,SENT,7E000F17D30013A20040B10630FFFE0248569C
07-26-2017 07:42:50.509,20,RECV,7E001197D30013A20040B10630FFFE4856002342B9
07-26-2017 07:42:50.511,21,SENT,7E000F17D40013A20040B10630FFFE02565291
07-26-2017 07:42:50.629,22,RECV,7E001197D40013A20040B10630FFFE56520080741F
07-26-2017 07:42:50.630,23,SENT,7E000F17D50013A20040B10630FFFE024150A7
07-26-2017 07:42:50.812,24,RECV,7E001097D50013A20040B10630FFFE4150000128
